Desc	Family ID	AspNid	ConCor	SacCer	ggMorZona1	ggMucLanc1	ggRhiOryz1	gzAbsCyli1	gzAbsGlau1	gzCunBlak1	gzCunEchi1	gzLicCory1	gzLinHyal1	gzMorAlpi1	gzMucCirc1	gzMucCirc2	gzMucFrag1	gzMucHiem1	gzMucPlum2	gzPodHuml1	gzRhiMicr1	gzRhiStol1	gzUmbIsab1	gzUmbRama1	gzUmbVina1
(null)	N0.HOG0000055	0	1	0	0	20	50	2	3	1	7	3	0	1	10	10	0	8	23	8	42	37	1	0	8
(null)	N0.HOG0000056	0	0	0	0	19	31	24	4	3	8	18	0	0	10	19	13	25	10	0	9	41	0	0	1
(null)	N0.HOG0000057	1	1	3	3	5	5	5	5	3	3	6	3	3	5	5	5	6	5	3	5	6	3	3	3
(null)	N0.HOG0000058	0	0	2	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1
(null)	N0.HOG0000059	1	4	0	1	5	9	5	6	3	3	3	1	1	7	7	8	7	8	1	8	7	4	4	3
(null)	N0.HOG0000060	1	1	3	1	1	1	3	2	2	2	3	1	2	2	2	1	2	2	2	1	0	1	1	1
(null)	N0.HOG0000061	1	2	1	3	10	11	11	11	8	8	8	3	4	8	8	9	8	8	5	5	9	6	6	6
(null)	N0.HOG0000062	6	0	2	1	0	0	2	2	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1
(null)	N0.HOG0000063	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000064	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000065	1	0	0	7	6	7	9	7	4	4	3	7	5	6	6	6	7	6	6	5	7	5	5	7
(null)	N0.HOG0000066	1	0	1	0	2	2	1	1	1	2	3	0	0	2	2	2	2	2	0	1	1	2	2	1
(null)	N0.HOG0000067	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000068	0	12	1	6	7	11	12	10	7	8	12	6	6	9	9	9	11	9	9	8	12	5	5	5
(null)	N0.HOG0000069	3	0	0	12	7	8	11	9	10	10	9	11	12	8	8	10	15	9	8	6	7	5	5	5
(null)	N0.HOG0000070	0	2	2	1	2	3	3	3	2	2	5	1	1	2	2	2	2	2	1	2	2	2	1	2
(null)	N0.HOG0000071	1	1	2	2	7	9	11	11	7	6	8	2	2	8	8	8	7	8	3	7	10	4	4	5
(null)	N0.HOG0000072	1	1	1	0	1	2	1	1	1	1	2	0	0	2	2	2	2	2	0	2	3	0	0	0
(null)	N0.HOG0000073	1	14	0	2	6	9	6	5	3	3	8	5	3	8	8	8	7	8	3	7	9	6	5	4
(null)	N0.HOG0000074	1	0	5	0	1	1	0	0	0	0	2	0	0	1	1	1	1	1	0	1	1	1	1	1
