Orthogroup	Duplications (all)	Duplications (50% support)
OG0000847	1	1
OG0000848	11	8
OG0000849	7	6
OG0000850	7	5
OG0000851	16	15
OG0000852	6	6
OG0000853	16	13
OG0000854	8	7
OG0000855	9	9
OG0000856	7	4
OG0000857	5	4
OG0000858	9	8
OG0000859	7	7
OG0000860	11	9
OG0000861	9	7
OG0000862	2	1
OG0000863	8	6
OG0000864	5	5
OG0000865	3	3
OG0000866	11	6
OG0000867	10	8
OG0000868	7	4
OG0000869	16	14
OG0000870	3	2
OG0000871	7	6
OG0000872	10	10
OG0000873	9	6
OG0000874	7	6
OG0000875	5	2
OG0000876	7	7
OG0000877	4	4
OG0000878	7	7
OG0000879	8	8
OG0000880	6	6
OG0000881	5	4
OG0000882	10	6
OG0000883	8	6
OG0000884	19	17
OG0000885	4	3
OG0000886	36	36
OG0000887	10	8
OG0000888	9	8
OG0000889	8	8
OG0000890	8	8
OG0000891	30	20
OG0000892	9	9
OG0000893	6	6
OG0000894	7	3
OG0000895	6	5
OG0000896	6	4
OG0000897	15	14
OG0000898	10	6
OG0000899	12	6
OG0000900	6	2
OG0000901	8	4
OG0000902	17	13
OG0000903	7	5
OG0000904	10	9
OG0000905	9	8
OG0000906	9	8
OG0000907	13	12
OG0000908	18	15
OG0000909	8	5
OG0000910	12	10
OG0000911	6	3
OG0000912	6	5
OG0000913	6	4
OG0000914	11	8
OG0000915	16	15
OG0000916	8	8
OG0000917	4	3
OG0000918	6	6
OG0000919	8	2
OG0000920	6	6
OG0000921	4	3
OG0000922	22	21
OG0000923	7	4
OG0000924	7	6
OG0000925	6	4
OG0000926	9	7
OG0000927	7	6
OG0000928	4	4
OG0000929	8	7
OG0000930	7	6
OG0000931	34	28
OG0000932	29	26
OG0000933	9	8
OG0000934	20	5
OG0000935	21	21
OG0000936	38	38
OG0000937	6	6
OG0000938	3	3
OG0000939	12	10
OG0000940	9	8
OG0000941	5	5
OG0000942	5	4
OG0000943	5	3
OG0000944	3	3
OG0000945	7	5
OG0000946	8	6
OG0000947	4	3
OG0000948	6	5
OG0000949	10	9
OG0000950	7	4
OG0000951	5	4
OG0000952	8	5
OG0000953	7	6
OG0000954	10	6
OG0000955	2	2
OG0000956	7	7
OG0000957	8	7
OG0000958	8	7
OG0000959	8	8
OG0000960	6	6
OG0000961	18	17
OG0000962	5	4
OG0000963	12	12
OG0000964	7	7
OG0000965	6	6
OG0000966	6	5
OG0000967	7	6
OG0000968	15	12
OG0000969	10	10
OG0000970	11	11
OG0000971	12	12
OG0000972	6	4
OG0000973	4	1
OG0000974	5	4
OG0000975	29	25
OG0000976	6	6
OG0000977	9	9
OG0000978	5	4
OG0000979	19	12
OG0000980	12	11
OG0000981	9	7
OG0000982	8	7
OG0000983	12	11
OG0000984	3	2
OG0000985	5	3
OG0000986	4	3
OG0000987	7	6
OG0000988	11	10
OG0000989	11	9
OG0000990	8	6
OG0000991	4	4
OG0000992	6	3
OG0000993	4	4
OG0000994	7	4
OG0000995	17	14
OG0000996	5	5
OG0000997	3	3
OG0000998	5	4
OG0000999	6	6
OG0001000	4	3
OG0001001	10	8
OG0001002	6	5
OG0001003	5	3
OG0001004	5	3
OG0001005	6	5
OG0001006	6	4
OG0001007	15	15
OG0001008	9	7
OG0001009	6	5
OG0001010	5	5
OG0001011	6	4
OG0001012	7	4
OG0001013	3	2
OG0001014	4	4
OG0001015	14	13
OG0001016	6	2
OG0001017	5	2
OG0001018	8	7
OG0001019	4	3
OG0001020	24	16
OG0001021	5	4
OG0001022	8	8
OG0001023	18	12
OG0001024	6	5
OG0001025	44	44
OG0001026	8	7
OG0001027	3	2
OG0001028	6	5
OG0001029	9	7
OG0001030	7	4
OG0001031	7	5
OG0001032	8	5
OG0001033	11	6
OG0001034	11	11
OG0001035	4	4
OG0001036	15	12
OG0001037	5	3
OG0001038	5	5
OG0001039	15	8
OG0001040	10	9
OG0001041	5	3
OG0001042	19	18
OG0001043	4	4
OG0001044	15	13
OG0001045	7	6
OG0001046	4	3
OG0001047	7	4
OG0001048	3	2
